city,date,fare,ride_id
West Christopherberg,43544.12832,42.83,6.89841E+12
West Gabriel,43480.61913,13.38,7.56092E+12
Simpsonburgh,43556.16863,25.65,2.86964E+12
West Robert,43589.19193,5.36,9.79948E+12
Loganberg,43513.33253,44.47,3.54107E+12
West Anthony,43575.84269,11.85,4.27467E+12
Jerryton,43586.72256,4.97,8.0964E+12
North Jasmine,43528.70792,42.58,8.86458E+12
North Madeline,43491.10965,5.59,3.67644E+12
Royland,43549.76185,7.09,5.6603E+12
New Paulton,43486.71124,18.3,3.72117E+12
Richardfort,43504.65986,16.55,2.27046E+12
Barajasview,43499.41573,39.39,9.438E+12
Pattyland,43573.97719,28.66,2.3424E+12
West Christopherberg,43513.14638,4.4,4.35311E+12
Grahamburgh,43521.51294,14.51,6.15711E+12
New Kimberlyborough,43566.44323,12.01,1.35529E+11
North Madeline,43587.97626,11.94,7.52666E+12
Simpsonburgh,43567.81856,22.45,7.81139E+12
Martinezhaven,43512.72605,15.33,9.81061E+12
West Heidi,43554.10233,11.15,2.26487E+12
Christopherfurt,43567.60918,22.91,5.92812E+12
Karenside,43583.10985,39.41,4.71119E+12
Rogerston,43556.39378,28.54,9.9631E+12
West Samuelburgh,43515.45943,17.77,7.60898E+12
Joneschester,43541.94439,15.35,2.30717E+12
West Heidi,43523.47203,35.19,6.99827E+12
West Heidi,43526.38429,23.55,6.47807E+12
Roberthaven,43554.63345,16.2,2.94949E+12
Karenberg,43562.68652,16.11,4.80609E+12
Port Angela,43532.68921,23.06,2.75074E+12
Hurleymouth,43503.25529,36.7,1.74818E+11
Simpsonburgh,43555.49243,24.16,9.70976E+12
South Jack,43538.72086,18.66,3.5116E+12
New Jacobville,43534.04319,10.63,6.50454E+11
Williamsstad,43571.68188,32.43,7.17782E+12
Port Johnbury,43551.35176,38.99,4.11568E+12
North Jasmine,43513.01929,35.11,6.62098E+12
South Jack,43468.96623,4.95,9.0056E+12
Pattyland,43578.12301,13.01,9.34529E+12
Raymondhaven,43512.18853,24.31,8.96062E+12
Joneschester,43579.54704,9.78,9.67059E+11
North Jason,43515.1986,15.87,7.79183E+12
Williamsstad,43518.1845,20.56,5.81376E+12
West Christopherberg,43515.82604,40.98,7.52484E+11
South Karenland,43543.6183,23.07,5.75934E+12
Rodneyfort,43531.9844,7.78,2.85963E+12
Lake Scottton,43501.49162,24.54,3.77026E+12
Royland,43491.89567,14.68,1.74729E+12
Martinezhaven,43486.07671,42.75,9.05609E+12
West Patrickchester,43541.2027,17.38,3.06649E+12
Raymondhaven,43555.70946,36.29,8.95924E+12
West Robert,43530.25696,22.86,2.31892E+12
South Evanton,43521.77721,15.06,8.87333E+12
West Christopherberg,43531.84014,32.27,2.176E+12
West Josephberg,43574.08045,42.53,6.11437E+12
Liumouth,43530.32259,23.53,2.43017E+12
West Christopherberg,43506.82064,8.42,8.36259E+11
Hurleymouth,43519.57521,18.15,6.05143E+12
Port Angela,43522.41789,28.52,6.78357E+12
West Samuelburgh,43496.38698,14.11,6.0384E+12
North Barbara,43561.37709,26.64,9.29433E+11
Rodneyfort,43584.01414,44.28,6.97926E+12
North Jason,43560.08744,31.89,9.98847E+12
Port David,43507.96365,10.05,6.92195E+12
Raymondhaven,43492.66135,41.76,7.32594E+12
Barajasview,43536.20428,37.05,1.82923E+12
Liumouth,43482.67868,33.29,3.42432E+12
North Barbara,43548.28416,4.05,5.34406E+12
Valentineton,43558.48247,18.62,5.5506E+11
West Samuelburgh,43572.79287,10.58,2.0719E+12
Carriemouth,43480.26943,24.13,7.41768E+12
Carriemouth,43593.18056,21.99,1.17998E+11
Erikaland,43517.85313,12.44,2.70509E+12
Grahamburgh,43483.32032,23.35,8.08454E+12
East Kaylahaven,43494.54244,9.81,2.05842E+12
Carriemouth,43500.02074,24.87,6.0156E+12
Justinberg,43569.61716,24.34,1.49282E+12
Pattyland,43466.72428,42.11,9.61495E+12
Royland,43564.02236,22.89,5.15786E+12
Huntermouth,43538.44303,30.49,9.53756E+12
Huntermouth,43482.50763,41.48,7.8023E+12
Huntermouth,43499.51356,31.43,4.78286E+12
South Evanton,43517.33736,34.21,5.09396E+12
West Robert,43567.34532,32.48,7.54437E+12
Raymondhaven,43526.20603,5.19,4.17505E+12
Port Frank,43557.6587,13.55,4.84971E+12
West Heidi,43542.2037,4.29,4.31502E+12
Amandaburgh,43556.39191,24.29,1.99546E+12
Liumouth,43523.75578,43.31,1.51093E+12
Barajasview,43539.94731,28.3,1.31427E+12
New Kimberlyborough,43543.64264,27.37,5.33038E+11
West Samuelburgh,43471.35719,43.05,9.81077E+12
Lake Scottton,43493.10598,23.95,9.4834E+12
North Jason,43479.87065,26.58,8.64239E+12
East Kaylahaven,43547.45039,4.64,1.90804E+12
Johnton,43539.36138,43.5,7.1342E+12
Roberthaven,43518.82146,27.48,9.42E+12
Robertport,43490.06465,44.75,6.71134E+12
Joneschester,43512.10782,9.48,4.15529E+12
Johnton,43587.09655,32.38,8.95482E+12
West Anthony,43515.9535,27.9,4.26752E+12
Martinezhaven,43535.83834,7.01,7.63675E+12
Port Johnbury,43554.74956,15.17,4.90059E+12
Williamsview,43562.10582,19.19,8.04777E+12
West Robert,43519.82399,33.24,3.05503E+12
Barajasview,43543.51219,26.6,5.62306E+12
Williamsstad,43591.52719,40.79,8.72087E+12
Justinberg,43487.38112,38.3,1.28783E+12
Justinberg,43571.06017,16.58,1.47644E+12
Carriemouth,43513.20903,22.66,3.71794E+12
South Evanton,43565.23506,30.36,5.2549E+12
Simpsonburgh,43510.95324,30,7.64462E+12
New Kimberlyborough,43472.21681,15.22,7.02007E+12
Richardfort,43558.63025,40.77,9.49621E+12
Williamsview,43470.03101,21.59,6.18022E+12
Carriemouth,43469.6641,31.99,4.87254E+12
West Christopherberg,43561.58285,25.31,3.27595E+12
New Jacobville,43565.17782,42.92,4.02102E+12
Karenberg,43578.88277,26.92,9.6851E+12
Johnton,43524.23755,12.02,6.6703E+12
Amandaburgh,43575.09453,16.27,3.51312E+12
Port Frank,43580.96144,19.43,7.79216E+12
Martinezhaven,43499.26105,11.61,3.41665E+12
Joneschester,43533.14255,39.32,1.55316E+12
West Robert,43562.26185,40.69,5.02551E+11
West Heidi,43502.03297,40.55,6.25794E+12
Lake Jonathanshire,43489.51692,34.65,3.31912E+12
Johnton,43487.54903,24.17,7.41336E+12
South Karenland,43496.65972,36.28,9.21999E+12
Liumouth,43470.81432,27.02,3.77362E+12
Port Angela,43504.01024,15.58,7.38873E+12
Johnton,43522.40001,18.76,6.36082E+12
Pattyland,43501.03332,28.81,1.15407E+11
Deanville,43581.1702,28.44,3.32616E+12
West Anthony,43527.01705,20.71,7.55033E+12
South Phillip,43524.6209,42.2,9.81356E+12
North Jason,43470.45828,16.22,3.84242E+12
Loganberg,43496.97907,13.69,4.06601E+12
Port Frank,43492.56947,38.97,5.9444E+12
South Evanton,43530.95906,44.41,2.7603E+12
West Angela,43487.10281,32.18,4.24482E+12
Rodneyfort,43567.9786,27.81,5.6694E+12
Carriemouth,43583.3924,37.35,4.81235E+12
Hurleymouth,43524.13906,44.85,5.10428E+12
Lake Danielberg,43544.23443,33.9,25082058503
Lake Jonathanshire,43548.68598,14.94,1.67091E+12
Williamsview,43589.62274,32.8,2.67773E+12
West Josephberg,43515.86685,4.07,1.34803E+12
Christopherfurt,43561.93962,27.46,7.39994E+12
South Phillip,43497.53624,39.27,5.30799E+12
New Paulville,43514.98844,38.97,1.73392E+12
Grahamburgh,43548.56919,32.17,2.40024E+12
Port Johnbury,43504.43706,7.63,3.49757E+12
Port David,43528.02897,23.7,6.4922E+12
West Ericstad,43568.41161,22.39,5.77076E+12
Karenside,43588.64704,32.68,9.19416E+12
Valentineton,43521.10691,10.21,4.59589E+12
Martinezhaven,43545.33081,39.26,9.86764E+12
Huntermouth,43545.56355,27.96,3.03092E+12
Rogerston,43542.53289,8.58,4.17898E+12
West Angela,43531.44336,14.8,5.02247E+12
Rodneyfort,43539.42969,30.83,4.17505E+12
North Jasmine,43579.36751,28.24,8.27389E+12
Raymondhaven,43490.28351,14.65,3.91246E+12
Richardfort,43515.58981,27.11,8.69032E+12
West Josephberg,43540.29638,10.04,6.77577E+12
Erikaland,43592.47499,22.72,5.59043E+12
Royland,43480.36859,4.1,9.40923E+12
Roberthaven,43551.30863,11.51,9.18506E+12
Justinberg,43571.21222,27.1,1.85455E+12
East Kaylahaven,43469.99823,24.37,5.7352E+12
North Jason,43518.29714,18.67,1.90295E+11
Karenside,43508.86471,25.58,6.56902E+12
Raymondhaven,43524.67402,11.26,3.12271E+12
Amandaburgh,43537.53647,13.88,6.22213E+12
Amandaburgh,43577.89881,42.52,1.90116E+12
New Jacobville,43582.59141,37.6,8.7809E+12
West Ericstad,43574.85787,5.75,3.49713E+12
Christopherfurt,43469.18755,15.47,1.47116E+12
Port David,43551.01456,18.43,4.63559E+12
Martinezhaven,43511.09634,15.93,9.62458E+12
West Robert,43523.18723,22.81,5.71431E+12
South Michelleport,43532.17958,27.42,3.75424E+12
Robertport,43588.10887,31.62,4.85226E+12
West Anthony,43500.62828,20.09,4.22152E+12
West Angela,43544.98912,23.83,8.75081E+12
South Michelleport,43592.51737,4.47,2.89109E+11
New Paulville,43586.56192,10.3,1.05757E+12
Justinberg,43515.16793,36.27,7.28644E+12
Leahton,43473.49176,39.81,4.57902E+11
Justinberg,43497.88626,31.07,2.73965E+12
South Latoya,43508.68854,28.92,5.77983E+12
Williamsview,43504.25808,25.3,2.3246E+12
Joneschester,43480.88958,13.43,2.23586E+12
Williamsstad,43471.84368,43.5,2.04785E+12
South Karenland,43490.34368,31.02,5.00482E+11
Carriemouth,43556.02442,27.84,6.58983E+12
Valentineton,43466.61279,12.31,4.75704E+12
Christopherfurt,43536.39083,35.57,8.28613E+12
Huntermouth,43501.34094,28.58,3.14352E+11
Deanville,43513.66098,25.33,2.74947E+12
North Barbara,43590.40731,26.54,4.32828E+12
West Angela,43490.51333,41.05,4.60241E+12
Martinezhaven,43570.38749,35.45,4.82261E+12
West Anthony,43477.81813,37.66,4.10252E+11
West Samuelburgh,43580.66347,26.44,4.33865E+12
West Josephberg,43584.43123,28.73,1.73253E+12
Liumouth,43566.5781,15.55,6.82849E+12
Karenside,43559.60596,42.27,6.7715E+12
Loganberg,43559.33619,25.93,1.86096E+11
Johnton,43486.13896,28.59,5.59754E+12
Carriemouth,43532.56654,34.32,7.98492E+12
South Latoya,43467.03059,43.72,3.90122E+11
South Phillip,43549.36027,7.04,7.93164E+12
Lake Danielberg,43545.82411,14.12,8.57368E+12
Jerryton,43492.23266,5.21,2.36654E+12
Simpsonburgh,43583.45433,10.07,2.9948E+12
Amandaburgh,43502.4184,11.93,7.55033E+12
Karenberg,43510.61159,11.06,4.34496E+12
Jerryton,43481.71775,22.26,9.74453E+11
East Kaylahaven,43551.03089,25.29,4.84074E+12
Pattyland,43507.85118,33.21,1.32588E+12
South Michelleport,43502.72895,25.58,6.81478E+12
Martinezhaven,43519.01105,15.48,5.94682E+12
Loganberg,43470.60774,5.92,5.3277E+12
New Paulville,43568.43307,8.69,5.9222E+11
South Evanton,43475.12354,37.03,4.81799E+12
Port Angela,43502.29716,24.47,1.46982E+12
West Gabriel,43576.202,4.96,2.69414E+12
New Kimberlyborough,43552.53397,10.91,9.35422E+11
West Anthony,43571.04603,17.47,5.70656E+12
West Gabriel,43481.26622,25.97,6.59048E+12
Karenside,43489.32516,9.39,4.82906E+12
Liumouth,43466.00574,37.91,5.67367E+12
Grahamburgh,43575.90281,40.06,5.16183E+12
Christopherfurt,43592.72764,6.39,7.60801E+12
West Gabriel,43586.09587,27.45,2.82746E+12
West Heidi,43482.15506,5.78,9.1077E+12
West Angela,43469.86459,20.33,1.92034E+12
Christopherfurt,43549.71615,7.19,6.89268E+12
Robertport,43549.78859,35.29,7.87581E+12
Royland,43481.08764,4.89,8.05334E+12
Huntermouth,43543.7305,15.05,1.67708E+12
North Madeline,43562.28507,11.92,7.37335E+11
East Kaylahaven,43472.8535,5.56,4.65764E+12
Loganberg,43573.73713,22.51,3.20804E+12
North Jason,43488.89073,6.54,5.61476E+12
South Latoya,43496.97282,14.82,6.96344E+12
Karenberg,43533.61626,35.68,8.63175E+12
West Anthony,43586.7386,23.76,2.92935E+12
Williamsstad,43549.67178,42.93,2.21E+12
Port Angela,43502.67466,11.39,6.10867E+12
Karenside,43520.23542,27.64,8.05821E+12
East Kaylahaven,43545.9542,9.42,1.46826E+12
South Michelleport,43547.69856,14.72,4.90532E+11
Pattyland,43479.86793,40.21,5.82597E+12
Port Samanthamouth,43524.83433,38.42,2.10509E+12
Reynoldsfurt,43566.38186,42.97,1.39065E+12
Pattyland,43551.28414,8.57,3.07455E+12
North Jasmine,43579.3374,14.11,4.19471E+12
North Madeline,43555.14944,21.24,6.5416E+11
West Anthony,43507.242,15.55,5.98841E+12
Lake Danielberg,43493.65961,25.98,1.41832E+12
Royland,43515.35137,13.02,1.86047E+11
Reynoldsfurt,43532.29646,6.08,2.56721E+12
Roberthaven,43505.01759,11.71,8.18277E+12
South Evanton,43521.46626,15.94,2.73432E+12
Grahamburgh,43528.9525,34.93,5.941E+12
West Ericstad,43553.20826,40.29,8.09503E+11
Port Frank,43513.55679,32.44,5.38735E+12
Lake Danielberg,43504.22685,22.74,9.52401E+12
Erikaland,43548.40977,4.07,6.56168E+12
Port David,43507.4994,38,7.7727E+12
North Barbara,43582.01329,16.89,5.10412E+12
Simpsonburgh,43523.04049,13.38,1.57792E+12
North Jason,43488.24889,32.77,2.98876E+12
Simpsonburgh,43471.09779,27.2,3.68183E+12
South Phillip,43573.05402,35.7,4.75237E+12
South Karenland,43540.09729,4.87,2.38792E+12
New Paulville,43538.89265,20.26,8.81201E+12
Johnton,43510.76508,43.93,5.44375E+12
Port Johnbury,43523.11406,11.33,3.22578E+12
Joneschester,43536.91159,21.17,1.57652E+12
West Samuelburgh,43508.78149,6.76,8.53007E+12
Huntermouth,43583.72699,31.43,6.66048E+12
Deanville,43556.00819,22.65,7.00278E+12
Leahton,43511.70852,25.84,9.2427E+12
Hurleymouth,43568.76084,40.93,4.91521E+12
West Anthony,43545.06167,15.64,4.74685E+12
Karenside,43488.97959,37.62,1.95293E+12
West Gabriel,43524.50256,31.82,4.15307E+12
Carriemouth,43550.44399,26.91,7.85248E+12
South Michelleport,43525.91738,24.55,9.78948E+12
Rodneyfort,43590.13865,22.24,5.39329E+12
Deanville,43531.30679,31.08,9.71126E+12
Reynoldsfurt,43589.52683,8.81,3.23811E+12
Justinberg,43582.529,18.99,3.03461E+12
Huntermouth,43526.44949,10.89,1.64727E+12
West Robert,43523.86895,8.37,4.89897E+11
Port Angela,43510.54189,42.04,8.96909E+11
South Karenland,43474.87446,44.44,3.17995E+12
Port David,43548.69248,25.65,2.08469E+12
Liumouth,43469.13653,9.1,8.14768E+12
Simpsonburgh,43483.53378,15.36,5.19567E+12
South Evanton,43569.84171,19.53,8.34565E+12
West Heidi,43561.37094,25.06,8.91601E+12
Port Frank,43479.38825,43.27,4.91473E+11
East Kaylahaven,43519.02873,15.94,1.60239E+12
North Madeline,43493.41506,42.24,5.83417E+11
Liumouth,43569.88704,38.95,14588103145
North Madeline,43530.80973,26.34,1.88386E+12
Williamsview,43570.67301,44.74,2.7594E+12
North Barbara,43540.43209,25.06,9.74571E+12
South Evanton,43503.36396,7.69,9.01261E+12
Williamsstad,43581.1797,18.92,1.6064E+12
Rodneyfort,43477.26249,7.05,4.23915E+12
Karenside,43574.36258,26.45,9.29376E+12
New Paulton,43478.77359,29.9,4.09033E+12
West Robert,43482.20575,12.71,8.50343E+12
Jerryton,43510.82556,24.49,3.08044E+12
Karenberg,43481.57844,41.26,3.35715E+12
Christopherfurt,43588.53199,14.43,5.64493E+12
Grahamburgh,43551.92663,4.63,7.32444E+12
New Kimberlyborough,43526.78943,6.08,3.87292E+12
North Madeline,43528.93706,6.19,5.4655E+11
North Jason,43536.87582,5.76,5.11343E+12
Liumouth,43540.27186,34.2,2.54174E+12
New Jacobville,43576.95854,13.53,5.56794E+12
Justinberg,43579.4813,28.76,6.4936E+12
West Anthony,43537.33553,5.03,1.17802E+12
Raymondhaven,43478.04419,17.33,2.83043E+12
Royland,43546.9187,23.31,2.833E+12
Rogerston,43495.88808,8.87,5.68698E+12
West Anthony,43588.20087,21.38,9.17265E+12
Port Frank,43561.86902,21.02,9.71438E+12
Lake Jonathanshire,43566.92396,12.81,5.99987E+12
South Phillip,43482.73991,23.46,2.62802E+12
South Karenland,43527.31975,22.44,7.45861E+12
Port Samanthamouth,43573.61064,23.56,8.73425E+12
Huntermouth,43475.40314,43.01,7.5807E+12
Joneschester,43577.70032,9.7,8.58709E+12
West Anthony,43577.34341,19.95,1.21205E+12
North Jasmine,43566.15148,27.54,5.00327E+12
Reynoldsfurt,43534.84031,4.1,5.69073E+12
North Markport,43518.62543,16.46,2.79829E+12
Huntermouth,43474.95596,15.31,1.53005E+12
Rogerston,43543.70747,29.88,3.97971E+12
Deanville,43529.50363,11.16,4.73702E+12
Rodneyfort,43476.59591,23.21,3.43372E+12
Reynoldsfurt,43553.73322,31.43,9.92231E+12
West Josephberg,43479.75529,9.71,4.72613E+12
Huntermouth,43544.03186,40.55,6.75062E+12
Amandaburgh,43579.33503,14.55,7.83612E+12
Port Frank,43529.02936,36.35,9.21372E+12
Martinezhaven,43475.15072,23.62,5.46989E+12
East Kaylahaven,43506.52927,6.69,6.07184E+12
Joneschester,43534.56366,22.72,8.70503E+12
West Angela,43586.79395,23.23,7.76994E+12
New Paulton,43579.60209,32.22,2.98963E+12
Roberthaven,43529.50858,5.43,6.05362E+11
Port Frank,43533.70811,6.5,2.10909E+12
Port Frank,43559.49074,39.39,7.96748E+12
Hurleymouth,43531.52685,41.96,1.67733E+12
Leahton,43530.71309,41.29,3.31067E+12
Johnton,43503.81981,30.97,6.85398E+12
Lake Scottton,43588.64307,25.68,7.71161E+11
Simpsonburgh,43496.21991,39.23,3.69709E+12
West Angela,43517.57742,29.99,4.36732E+12
Williamsview,43571.34933,20.38,8.22775E+12
West Josephberg,43567.00784,15.49,5.11823E+12
West Josephberg,43511.03589,36.7,8.33427E+12
South Karenland,43515.09749,39.59,9.83407E+12
Barajasview,43467.97453,36.13,8.56719E+12
East Kaylahaven,43486.67169,36.89,2.41125E+12
Loganberg,43477.21388,36.82,1.07811E+12
Richardfort,43577.12981,39.74,4.08139E+12
Richardfort,43496.61876,43.92,4.06695E+12
South Michelleport,43556.61821,28.84,8.84609E+12
Barajasview,43479.45898,19.81,2.37626E+12
West Heidi,43573.83738,32.74,1.74649E+12
Leahton,43555.08928,4.65,2.2042E+12
Port Johnbury,43472.23858,19.08,8.83938E+12
Justinberg,43592.84883,18.74,6.39565E+12
North Barbara,43565.71701,10.94,3.55505E+11
Barajasview,43591.04637,17.63,9.23321E+12
Reynoldsfurt,43567.05106,21.18,7.47139E+12
West Christopherberg,43505.51757,33.97,4.25388E+12
Leahton,43519.05487,7.08,3.74445E+12
Simpsonburgh,43528.46413,23.33,9.99763E+11
Port Frank,43560.30701,14.21,8.36608E+12
West Heidi,43572.0027,8.91,7.61713E+12
Robertport,43579.98988,19.73,7.44321E+12
Loganberg,43590.72863,30.47,7.76926E+12
West Josephberg,43547.07201,33.12,2.3354E+12
West Anthony,43558.0747,31.6,4.96533E+12
South Michelleport,43577.10999,9.72,2.08892E+12
Amandaburgh,43560.43233,25.55,8.58142E+12
Justinberg,43556.9906,40.87,8.95767E+12
Joneschester,43534.34432,27.91,1.27309E+12
Lake Scottton,43476.80433,31.31,9.30578E+12
Rodneyfort,43548.79603,31.41,8.2742E+11
Pattyland,43580.62306,44.39,1.7237E+12
Jerryton,43524.0514,36.87,3.09106E+12
Lake Scottton,43566.18512,22.03,2.02682E+12
Grahamburgh,43584.88936,13.59,3.2007E+12
South Latoya,43553.95441,5.93,2.6243E+12
Liumouth,43551.50874,44.27,9.81646E+11
Hurleymouth,43526.48883,34.65,9.38045E+12
West Angela,43511.33436,44.12,1.96212E+12
Reynoldsfurt,43538.68738,35.65,9.90709E+12
Port Johnbury,43553.14079,14.54,3.76124E+12
North Jason,43511.60619,17.35,6.04176E+12
North Madeline,43570.41809,37.6,3.89526E+12
Simpsonburgh,43511.38764,4.63,60590634054
Hurleymouth,43509.73087,25.72,8.76149E+12
West Robert,43531.2728,4.28,2.03078E+12
North Jasmine,43556.18887,28.04,5.01238E+12
North Jason,43560.84043,32.18,3.37355E+12
South Jack,43497.47809,26.72,5.06217E+12
West Heidi,43505.8081,39.76,5.5229E+12
West Anthony,43561.10097,14.3,7.57196E+12
West Ericstad,43545.39479,18.24,4.60295E+12
West Samuelburgh,43523.28053,32.73,5.61598E+12
New Jacobville,43564.36642,4.95,4.49374E+12
Carriemouth,43517.6316,23.48,4.75731E+12
Christopherfurt,43542.3922,7.45,4.45122E+12
South Phillip,43481.15478,7.08,8.45568E+12
Grahamburgh,43493.65299,44.91,2.58537E+11
Christopherfurt,43549.85797,23.38,4.99819E+11
Robertport,43582.52209,41.48,6.46459E+12
Justinberg,43581.34212,7.68,1.06865E+12
Port Frank,43560.65557,36.08,3.45798E+11
New Jacobville,43568.05458,43.98,9.4486E+12
North Jasmine,43497.84551,8.09,4.15938E+11
Valentineton,43542.29696,36.04,8.73223E+12
Huntermouth,43471.84948,28.74,6.5421E+11
South Jack,43532.37197,17.17,8.79096E+12
New Paulton,43539.20063,4.6,9.74146E+12
Williamsstad,43576.97699,26.99,8.56256E+12
Jerryton,43471.52119,27.71,9.04474E+12
Deanville,43469.56271,4.56,6.42311E+12
South Evanton,43546.2265,6.58,8.37719E+12
New Kimberlyborough,43584.31822,9.08,3.17192E+12
Hurleymouth,43548.50284,8.77,8.27479E+12
North Barbara,43556.01419,31.72,9.78616E+12
West Angela,43518.09912,19.44,3.79496E+12
Karenside,43539.63291,31.89,5.43826E+12
South Phillip,43586.96226,38.46,3.43854E+12
South Karenland,43593.48513,19.77,7.83716E+12
Royland,43517.93035,5.95,8.41947E+12
South Phillip,43485.7328,24,7.33538E+12
South Phillip,43587.04475,24.23,1.22973E+11
West Gabriel,43533.19421,14.41,8.73618E+12
South Karenland,43479.08855,24.71,8.61231E+12
Robertport,43582.45486,11.42,9.22956E+12
Roberthaven,43508.33216,37,4.69588E+12
West Christopherberg,43476.90113,44.76,2.73682E+12
Robertport,43545.24175,8.2,3.39977E+12
West Anthony,43503.70543,33.51,4.16312E+12
New Kimberlyborough,43505.56125,6.43,6.44715E+12
Loganberg,43498.96524,7.12,1.2735E+12
West Samuelburgh,43476.06713,25.07,1.50842E+11
New Kimberlyborough,43579.77459,28.87,7.93708E+12
Roberthaven,43580.5933,22.75,7.37017E+12
Barajasview,43558.64282,44.15,9.59616E+12
Royland,43518.94902,10.19,8.89872E+12
Rogerston,43538.61326,10.29,7.43476E+12
Christopherfurt,43508.60052,11.7,8.49351E+12
West Gabriel,43516.25551,8.44,6.91241E+12
South Karenland,43573.54708,8.56,7.55792E+12
Williamsview,43581.02095,20.89,2.56503E+12
Deanville,43529.40606,42.79,3.62495E+12
West Samuelburgh,43481.15493,14.93,5.01861E+11
North Barbara,43510.47885,4.11,7.67696E+12
Christopherfurt,43534.31683,22.65,5.00464E+12
Jerryton,43497.69413,37.7,9.58045E+12
South Latoya,43505.86299,12.17,9.00632E+12
South Latoya,43528.51404,5.04,9.8774E+12
West Gabriel,43541.1826,15.95,9.29707E+12
Lake Jonathanshire,43488.90505,21.11,7.71147E+12
North Jasmine,43506.84663,31.38,4.7468E+12
Raymondhaven,43570.51087,6.74,6.81407E+12
Port Johnbury,43549.09534,41.61,8.06055E+12
North Barbara,43482.75997,18.27,3.78378E+11
New Kimberlyborough,43492.61804,23.09,5.57554E+12
Carriemouth,43522.22516,19.05,1.9546E+12
West Samuelburgh,43501.87648,31.94,6.73338E+12
Martinezhaven,43513.9086,34.27,2.34041E+11
North Barbara,43585.22403,28.89,3.28092E+12
Valentineton,43504.79536,36.23,6.6674E+12
West Robert,43505.21991,26.1,18586563147
Roberthaven,43562.7035,13.4,4.90174E+12
West Gabriel,43575.23003,23.69,4.90612E+12
Karenberg,43514.81125,44.08,7.21687E+12
Rogerston,43532.15705,17.81,8.56469E+12
West Angela,43477.08002,20.46,5.24131E+12
New Kimberlyborough,43556.50648,10.76,9.12831E+12
Justinberg,43516.62887,31.31,9.20163E+12
South Michelleport,43467.0395,37.34,7.66098E+12
South Evanton,43476.46037,39.99,9.38941E+12
Johnton,43566.57051,33.12,7.2261E+12
Grahamburgh,43558.56056,5.09,8.56329E+12
Rogerston,43512.08641,20.64,8.14712E+12
South Karenland,43576.48815,7.44,3.54676E+12
North Barbara,43532.39171,29.15,96327208793
Jerryton,43544.06126,15.37,9.31768E+11
West Christopherberg,43580.26547,35.39,7.47724E+12
South Jack,43509.38909,32.64,8.80719E+11
Port Samanthamouth,43493.99995,15.49,3.26708E+12
New Paulton,43553.80051,43.79,7.06918E+12
Carriemouth,43573.70925,37.63,7.73687E+12
North Jasmine,43523.06579,35.31,9.25035E+12
Rogerston,43481.35997,31.34,1.32229E+11
Port David,43499.04944,21.2,5.71426E+11
Williamsview,43566.86193,33.68,2.74358E+12
South Evanton,43581.19244,42.99,4.02195E+12
South Evanton,43549.66008,23.48,4.59571E+12
Port David,43562.98925,39.51,5.95526E+12
West Christopherberg,43504.96119,14.22,3.72559E+12
New Paulton,43543.98785,40.2,8.20067E+12
Leahton,43500.33878,15.37,9.58833E+12
Valentineton,43583.38199,5.73,2.11077E+11
Port David,43538.39505,9.22,3.63609E+12
West Robert,43508.05591,14.8,8.06183E+12
Valentineton,43467.07407,34.79,6.36435E+12
Port Johnbury,43516.18546,27.1,3.55937E+12
Richardfort,43528.92635,14.83,9.47411E+12
Karenberg,43473.57709,9.5,1.45291E+12
West Robert,43538.64271,18.28,4.58273E+12
New Paulville,43511.99921,28.18,2.04263E+12
West Patrickchester,43588.05865,44.85,9.42108E+12
Loganberg,43558.39635,5.16,9.23486E+12
Pattyland,43587.84576,4.23,1.65885E+11
West Christopherberg,43516.64101,26.9,1.2419E+12
Leahton,43501.75442,8.38,5.89552E+12
Richardfort,43552.81458,7.75,5.53906E+12
West Anthony,43535.51608,41.37,1.13382E+12
East Kaylahaven,43572.01973,41.19,6.32034E+11
Williamsstad,43556.73406,16.83,1.5169E+12
South Phillip,43508.91946,23.69,3.66762E+12
West Samuelburgh,43483.45626,16.96,3.93667E+12
Royland,43548.434,10.05,2.95667E+12
Justinberg,43489.42845,8.83,1.86337E+12
Karenberg,43495.45238,8.79,3.83247E+12
North Markport,43564.62194,20.23,2.5806E+12
Roberthaven,43541.61715,26.71,9.35152E+12
Royland,43476.59969,43.07,7.58051E+11
Hurleymouth,43496.11772,19.23,9.53734E+12
Roberthaven,43577.17502,31.29,4.10482E+12
Grahamburgh,43540.41904,30.66,4.73969E+12
Johnton,43581.70976,4.63,3.43531E+12
Huntermouth,43592.36625,25.83,9.61632E+11
Pattyland,43543.86234,18.17,9.39478E+12
West Robert,43571.67823,25.65,3.59878E+12
Leahton,43568.45433,18.25,6.16038E+12
Port Frank,43573.02708,33.73,2.26274E+12
Port Frank,43524.3194,33.83,1.26373E+12
West Josephberg,43532.91501,9.54,8.12252E+12
Grahamburgh,43504.56133,10.63,3.65433E+12
Williamsstad,43591.8158,26.43,8.9879E+12
North Barbara,43551.40613,33.4,5.61623E+12
South Phillip,43572.77943,42.3,1.29583E+12
Erikaland,43501.20262,14.13,9.87719E+12
Port Samanthamouth,43484.82939,38.58,2.62771E+12
North Jasmine,43576.63602,5.31,2.97864E+12
West Gabriel,43582.02369,37.74,7.63591E+12
Rodneyfort,43502.45971,27.87,9.79196E+12
